==NUM-OF-OBJ==
|Server|PCPU,1|PMem,1|Sched,1|SCSI,1|Nfs,1|Vscsi,1|Net,1|Interrupt,1|Power,1|
|PCPU|LCPU,56|Core,28|Package,2|
|PMem|NUMANode,2|
|Sched|SchedGroup,1120|
|SchedGroup|GroupID,1|GroupName,system|VMNUMANodeMem,0|CPUClient,403|HiddenWorld,0|
|CPUClient|CPUClientID,65737|VCPUName,retireWld.0010|
|CPUClient|CPUClientID,65738|VCPUName,retireWld.0011|
|CPUClient|CPUClientID,65739|VCPUName,retireWld.0012|
|CPUClient|CPUClientID,65740|VCPUName,retireWld.0013|
|CPUClient|CPUClientID,65741|VCPUName,retireWld.0014|
|CPUClient|CPUClientID,65742|VCPUName,retireWld.0015|
|CPUClient|CPUClientID,65743|VCPUName,retireWld.0016|
|CPUClient|CPUClientID,65744|VCPUName,retireWld.0017|
|CPUClient|CPUClientID,65745|VCPUName,retireWld.0018|
|CPUClient|CPUClientID,65746|VCPUName,retireWld.0019|
|CPUClient|CPUClientID,65747|VCPUName,retireWld.0020|
|CPUClient|CPUClientID,65748|VCPUName,retireWld.0021|
|CPUClient|CPUClientID,65749|VCPUName,retireWld.0022|
|CPUClient|CPUClientID,65750|VCPUName,retireWld.0023|
|CPUClient|CPUClientID,65751|VCPUName,retireWld.0024|
|CPUClient|CPUClientID,65752|VCPUName,retireWld.0025|
|CPUClient|CPUClientID,65753|VCPUName,retireWld.0026|
|CPUClient|CPUClientID,65754|VCPUName,retireWld.0027|
|CPUClient|CPUClientID,65755|VCPUName,retireWld.0028|
|CPUClient|CPUClientID,65756|VCPUName,retireWld.0029|
|CPUClient|CPUClientID,65757|VCPUName,retireWld.0030|
|CPUClient|CPUClientID,65758|VCPUName,retireWld.0031|
|CPUClient|CPUClientID,65759|VCPUName,retireWld.0032|
|CPUClient|CPUClientID,65760|VCPUName,retireWld.0033|
|CPUClient|CPUClientID,65761|VCPUName,retireWld.0034|
|CPUClient|CPUClientID,65762|VCPUName,retireWld.0035|
|CPUClient|CPUClientID,65763|VCPUName,retireWld.0036|
|CPUClient|CPUClientID,65764|VCPUName,retireWld.0037|
|CPUClient|CPUClientID,65765|VCPUName,retireWld.0038|
|CPUClient|CPUClientID,65766|VCPUName,retireWld.0039|
|CPUClient|CPUClientID,65767|VCPUName,retireWld.0040|
|CPUClient|CPUClientID,65768|VCPUName,retireWld.0041|
|CPUClient|CPUClientID,65769|VCPUName,retireWld.0042|
|CPUClient|CPUClientID,65770|VCPUName,retireWld.0043|
|CPUClient|CPUClientID,65771|VCPUName,retireWld.0044|
|CPUClient|CPUClientID,65772|VCPUName,retireWld.0045|
|CPUClient|CPUClientID,65773|VCPUName,retireWld.0046|
|CPUClient|CPUClientID,65774|VCPUName,retireWld.0047|
|CPUClient|CPUClientID,65775|VCPUName,retireWld.0048|
|CPUClient|CPUClientID,65776|VCPUName,retireWld.0049|
|CPUClient|CPUClientID,65777|VCPUName,retireWld.0050|
|CPUClient|CPUClientID,65778|VCPUName,retireWld.0051|
|CPUClient|CPUClientID,65779|VCPUName,retireWld.0052|
|CPUClient|CPUClientID,65780|VCPUName,retireWld.0053|
|CPUClient|CPUClientID,65781|VCPUName,retireWld.0054|
|CPUClient|CPUClientID,65782|VCPUName,retireWld.0055|
|CPUClient|CPUClientID,65783|VCPUName,itRebalance|
|CPUClient|CPUClientID,65784|VCPUName,memschedRealloc-fast|
|CPUClient|CPUClientID,65785|VCPUName,memschedRealloc|
|CPUClient|CPUClientID,65786|VCPUName,memmetrics-periodic|
|CPUClient|CPUClientID,65787|VCPUName,memsched-periodic|
|CPUClient|CPUClientID,65788|VCPUName,pshare-est|
|CPUClient|CPUClientID,65789|VCPUName,lpage-est|
|CPUClient|CPUClientID,65790|VCPUName,lpage|
|CPUClient|CPUClientID,65791|VCPUName,CpuSchedAgingVtimes|
|CPUClient|CPUClientID,65792|VCPUName,CpuSchedPeriodic|
